,절도,장물,사기,횡령,배임,손괴,살인,강도,방화,성폭력,폭행,상해,협박,공갈,약취와유인,체포와감금,"폭력행위등(손괴,강요,주거침입등)","폭력행위등(단체등의구성,활동)",통화,유가증권·인지·우표,문서,인장,직무유기,직권남용,수뢰,증뢰,도박과복표,신앙,기타음란행위,과실치사상,업무상과실치사상,실화,명예,권리행사방해,신용업무경매,주거침입,비밀침해,유기,교통방해,공무방해,도주와범인은닉,위증과증거인멸,무고,공안을해하는죄,내란의죄,음용수에관한죄,일수와수리에관한죄,기타,가정폭력범죄의처벌등에관한특례법,가축분뇨의관리및이용에관한법률,감염병의예방및관리에관한법률,개발제한구역의지정및관리에관한특별조치법,개인정보보호법,건강기능식품에관한법률,건설기계관리법,건설산업기본법,건축법,게임산업진흥에관한법률,결혼중개업의관리에관한법률,경범죄처벌법,고용보험법,공유수면관리및매립에관한법률,공유재산및물품관리법,공인중개사법,공중위생관리법,공직선거법,관세법,교통사고처리특례법,국가기술자격법,국가보안법,국민체육진흥법,국토의계획및이용에관한법률,근로기준법,근로자퇴직급여보장법,낚시관리및육성법,노동조합및노동관계조정법,농수산물유통및가격안정에관한법률,농수산물의원산지표시에관한법률,농지법,대기환경보전법,대부업등의등록및금융이용자보호에관한법률,도로교통법,도로교통법(무면허운전),도로교통법(사고후미조치),도로교통법(음주운전),도로교통법(음주측정거부),도로법,도시및주거환경정비법,독점규제및공정거래에관한법률,디자인보호법,마약류관리에관한법률(대마),마약류관리에관한법률(마약),마약류관리에관한법률(향정),물환경보전법,배타적경제수역에서의외국인어업등에관한주권적권리의행사에관한법률,범죄수익은닉의규제및처벌등에관한법률,변호사법,병역법,보조금관리에관한법률,부동산실권리자명의등기에관한법률,부정경쟁방지및영업비밀보호에관한법률,부정수표단속법,사행행위등규제및처벌특례법,산림자원의조성및관리에관한법률,산업안전보건법,산지관리법,상표법,석유및석유대체연료사업법,선박안전법,선박직원법,성매매알선등행위의처벌에관한법률,수도법,수산업법,수산자원관리법,식품위생법,신용정보의이용및보호에관한법률,"아동,청소년의성보호에관한법률(성매수등)","아동,청소년의성보호에관한법률(음란물등)",아동복지법,액화석유가스의안전관리및사업법,약사법,여객자동차운수사업법,여신전문금융업법,영유아보육법,예비군법,옥외광고물등의관리와옥외광고산업진흥에관한법률,외국환거래법,위험물안전관리법,유사수신행위의규제에관한법률,의료기기법,의료법,자동차관리법,자동차손해배상보장법,자본시장과금융투자업에관한법률,저작권법,전자금융거래법,전파법,정보통신망이용촉진및정보보호등에관한법률,조세범처벌법,주민등록법,주차장법,주택법,직업안정법,집회및시위에관한법률,청소년보호법,"총포,도검,화약류등의안전관리에관한법률",최저임금법,축산물위생관리법,출입국관리법,통신비밀보호법,특가법(도주차량),특허법,폐기물관리법,풍속영업의규제에관한법률,하천법,학교보건법,학원의설립운영및과외교습에관한법률,화물자동차운수사업법,화재로인한재해보상과보험가입에관한법률,"화재예방,소방시설설치유지및안전관리에관한법률",화학물질관리법,기타특별법
부동산업,232,6,2350,284,125,258,5,3,1,133,1221,409,117,26,3,18,14,8,1,1,250,4,0,0,3,3,180,6,7,10,5,5,209,106,220,142,0,0,21,75,3,52,54,1,0,0,0,0,0,1,0,6,32,0,0,126,97,13,1,35,5,0,0,607,5,7,0,525,1,0,2,38,53,12,0,0,0,0,5,12,9,45,155,103,680,14,7,15,0,0,11,1,41,0,0,2,11,11,4,46,2,6,1,5,0,38,5,2,0,0,59,1,1,1,9,1,4,0,14,0,0,14,4,2,14,28,1,0,29,0,6,104,106,1,24,53,0,65,17,6,16,117,0,3,2,0,1,0,0,3,22,0,5,0,3,0,1,0,0,0,0,173
의료보건업,27,0,118,26,1,8,0,0,1,24,78,42,4,1,0,4,1,0,0,0,13,0,1,0,4,1,4,0,1,0,37,0,25,4,10,8,0,0,0,3,0,8,15,0,0,2,0,1,0,0,2,0,4,1,0,0,3,0,0,6,3,0,0,1,1,0,1,90,0,0,0,2,81,55,0,0,0,0,2,0,0,7,9,4,57,0,0,0,0,0,0,2,6,0,0,0,0,1,3,1,0,0,0,0,1,1,0,0,0,0,4,0,0,0,1,1,0,0,4,0,47,0,0,0,4,1,2,0,0,6,162,5,4,0,6,7,0,9,0,0,2,0,0,1,0,0,5,0,4,1,2,0,5,1,0,0,0,0,0,0,0,128
차량정비업,67,4,294,43,7,53,1,2,2,37,254,93,27,3,0,7,3,0,0,0,8,2,0,1,0,0,24,1,1,5,3,4,26,21,32,7,0,0,3,13,0,4,10,0,0,0,0,0,1,0,0,1,1,0,46,2,7,1,0,16,0,0,0,0,0,0,1,161,4,0,0,4,14,3,0,0,0,0,0,27,1,29,61,27,271,7,0,0,0,0,2,0,2,1,0,0,0,10,0,0,0,0,0,0,0,2,2,1,0,0,18,0,0,0,0,0,2,0,7,1,0,10,3,0,7,0,0,0,0,0,0,384,24,0,7,14,0,15,0,0,0,0,0,0,2,0,0,0,0,0,3,1,1,0,0,0,0,4,0,0,0,30
노점,144,11,165,37,1,67,2,2,3,35,514,189,33,23,1,1,20,1,1,0,5,0,0,0,0,0,38,0,3,7,3,3,77,18,81,24,0,0,6,73,0,3,18,0,0,0,0,0,0,0,0,3,0,2,0,1,9,18,0,15,0,4,5,0,0,1,0,166,0,0,0,1,0,0,0,0,0,14,2,0,2,26,80,42,188,7,80,0,0,0,1,0,26,1,0,0,0,0,3,0,1,1,1,1,0,1,78,1,0,0,3,1,0,6,215,0,0,0,7,0,2,2,3,0,4,0,2,0,1,0,0,249,41,0,2,19,0,6,3,0,0,4,0,0,14,0,0,2,0,0,8,0,1,0,1,0,1,2,0,0,0,96
행상,51,0,16,4,0,5,0,0,0,4,18,6,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,1,6,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,13,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,4,14,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,7,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
기타사업,6116,813,30418,5042,1498,4404,57,69,104,2872,31113,8832,2378,486,22,343,269,56,11,82,2334,102,9,18,89,140,3716,63,153,391,762,268,3632,1557,3916,1243,8,19,232,1717,119,511,844,19,0,1,1,6,31,117,62,444,267,294,193,629,1220,3746,44,622,347,75,62,160,529,63,135,20003,42,4,69,472,8535,2446,44,136,16,704,268,646,298,2054,5906,3357,21020,416,574,136,2,144,118,53,552,277,0,33,102,428,552,129,267,333,253,109,561,326,2101,632,82,12,2911,46,24,114,3671,41,84,23,534,138,299,466,370,158,682,199,114,191,439,233,964,5751,4198,72,2090,1645,178,1183,886,179,110,245,245,56,4270,12,98,595,737,47,593,161,667,127,66,42,137,911,0,8,104,11244
교원(사립),39,0,73,29,16,22,0,0,0,94,132,42,12,4,1,0,11,0,0,0,19,2,7,5,1,0,8,2,1,2,7,2,63,6,44,8,0,4,3,13,0,8,11,0,0,0,0,0,1,0,0,0,14,0,0,0,9,0,0,4,1,0,0,0,0,2,0,427,0,0,0,4,9,0,0,11,0,0,1,0,0,16,10,27,86,1,1,0,0,0,0,0,2,0,0,0,0,2,3,2,1,0,0,0,1,1,0,0,0,0,10,1,0,0,1,0,0,0,80,0,0,0,2,15,7,0,0,0,0,0,1,8,3,0,5,4,0,21,0,1,1,2,0,0,0,0,0,0,0,1,3,0,1,0,0,0,3,0,0,0,0,41
사무원,105,2,424,115,50,69,0,1,1,63,433,100,28,6,0,6,0,0,0,3,89,7,0,1,2,2,29,2,3,2,3,2,89,23,62,11,1,0,6,25,1,14,16,0,0,0,0,0,1,0,0,0,12,2,0,2,17,3,0,7,15,0,0,6,4,2,0,415,0,0,0,4,0,0,0,0,0,0,0,1,2,26,54,50,365,4,1,6,0,0,0,1,6,0,0,0,27,14,0,2,3,2,0,1,1,0,1,0,0,0,22,0,0,0,15,0,2,2,10,0,6,4,1,0,14,5,1,0,3,0,29,38,48,0,16,53,0,34,5,7,10,7,1,0,2,0,0,1,1,5,13,1,2,0,0,0,0,1,0,0,0,130
기술자,673,12,1190,191,21,492,18,7,25,341,2752,878,232,18,2,21,19,1,0,1,39,1,0,0,2,3,262,1,22,27,40,88,171,80,337,120,1,0,7,201,6,12,13,0,0,0,0,0,2,0,0,1,3,0,12,72,8,18,0,89,28,1,0,0,9,8,0,1013,24,0,4,6,16,0,0,0,0,0,3,3,6,95,518,192,1712,22,5,2,0,1,5,7,60,2,0,0,1,66,14,2,3,1,1,5,2,1,4,1,1,0,97,1,0,2,2,0,10,0,42,0,1,5,11,0,72,2,1,1,4,0,17,195,227,0,32,151,0,45,14,10,2,7,2,1,1,3,0,0,21,1,49,0,3,0,0,0,1,7,0,0,2,280
점원,243,11,558,106,2,52,1,6,2,111,441,134,26,17,1,6,1,0,1,1,47,1,0,0,0,0,26,1,6,7,1,6,69,45,37,14,0,0,1,25,1,7,9,0,0,0,0,0,0,0,0,0,4,1,1,2,3,28,0,10,20,0,0,0,1,0,0,119,0,0,1,1,1,0,0,0,0,13,2,0,3,17,67,20,192,2,3,0,0,0,0,0,7,1,0,0,1,62,0,0,0,0,2,0,0,0,10,3,0,0,37,0,0,0,21,0,3,0,8,0,7,3,7,1,69,1,2,0,2,0,2,24,14,0,20,90,1,46,3,4,1,1,1,0,389,0,0,3,1,0,7,0,0,0,0,0,1,0,0,0,0,62
공원,299,6,277,64,11,101,5,3,6,113,570,306,33,10,1,4,25,0,0,0,30,2,0,0,0,0,57,1,9,8,15,9,30,17,69,23,0,2,2,53,1,2,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,14,18,0,0,0,0,0,0,126,0,0,2,0,0,0,0,0,0,0,0,2,0,17,121,43,280,2,0,0,0,0,14,2,148,0,0,0,0,20,1,0,0,1,2,0,0,0,0,0,0,0,42,2,0,1,1,0,4,7,12,0,0,0,4,0,26,0,1,0,1,0,1,24,38,0,7,55,0,14,0,2,0,3,0,1,0,0,0,0,27,1,9,1,0,1,0,0,0,1,0,0,1,60
운전자,1933,68,2632,993,251,1105,24,25,25,750,9417,2539,1002,80,8,84,24,4,2,5,145,12,1,0,1,0,1677,10,63,70,176,20,870,368,853,200,0,4,68,489,28,67,87,0,0,0,0,0,11,5,0,4,19,5,72,14,35,79,0,181,64,2,3,2,3,8,4,37364,4,2,19,15,21,2,1,0,0,2,13,4,15,2234,623,2656,4666,117,932,4,0,0,10,10,141,6,0,3,4,27,36,5,0,4,11,13,1,22,6,49,1,0,200,3,2,7,22,0,15,7,73,0,2,625,42,0,68,27,0,98,11,1,5,1904,680,0,43,433,13,115,46,10,3,37,8,35,6,1,1,1,8,7,507,0,102,0,10,1,0,325,0,0,3,942
경비원,439,6,330,221,16,199,4,4,4,197,1258,359,80,17,0,14,37,0,0,1,38,4,0,0,3,0,64,1,17,19,10,5,172,20,155,44,0,0,5,47,0,12,9,0,0,0,0,0,0,0,0,1,9,2,1,3,10,3,0,27,15,1,0,3,0,7,0,523,1,0,1,4,0,0,0,0,1,1,5,0,1,48,147,111,389,9,2,3,0,0,3,3,6,0,0,0,0,10,4,1,0,3,0,4,0,1,1,0,0,0,10,1,0,1,0,0,0,1,7,0,0,3,9,0,10,0,0,0,0,0,0,24,29,0,22,84,0,17,6,2,2,10,0,0,2,0,0,1,0,2,32,0,4,0,0,0,0,3,0,0,0,103
외판원,245,9,786,111,18,97,3,0,0,109,833,209,60,19,0,9,7,0,0,2,56,1,0,0,0,0,69,1,13,7,2,9,64,35,67,37,0,0,2,44,2,4,12,0,0,0,0,0,1,0,0,0,3,8,2,0,4,12,0,12,10,0,0,9,4,1,0,427,0,0,15,1,3,1,0,0,0,6,0,0,1,52,229,87,1107,18,1,0,0,0,0,0,22,1,0,0,0,55,0,4,1,1,0,0,0,1,16,2,0,0,61,1,0,0,80,1,5,0,10,0,3,6,7,0,53,8,1,0,10,4,12,102,112,0,20,112,0,28,4,8,0,4,0,1,14,0,1,1,5,1,27,0,0,0,0,1,0,1,0,0,1,196
국공영기업체직원,13,1,26,10,14,18,1,0,2,13,49,12,4,0,0,2,0,0,0,0,4,0,22,8,25,0,5,0,0,0,19,0,14,6,54,2,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,4,0,0,0,1,0,0,0,0,0,1,1,38,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,12,31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,1,1,0,10,0,0,0,0,0,7,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,26
일반회사원,9521,304,21886,3725,1163,5781,69,136,82,6109,38577,11272,2680,339,37,350,500,43,8,30,1704,54,18,20,74,62,3145,40,420,324,1053,300,3782,1203,3766,1440,17,16,138,2201,130,391,471,21,0,1,1,5,20,17,2,84,333,53,97,335,476,337,4,733,934,30,9,56,133,87,38,41611,51,3,136,136,10,1,2,9,1,33,73,250,152,3960,10657,6721,68005,721,140,102,2,19,120,41,422,69,0,10,50,1435,161,120,316,50,9,36,85,92,154,68,33,9,3612,40,3,39,244,14,187,90,576,4,64,240,169,10,1542,96,70,6,248,23,177,3170,3356,46,1398,3481,18,1711,309,117,35,340,30,68,109,11,0,37,127,26,1340,25,131,1,17,1,16,93,0,0,28,6269
금융기관직원,44,0,119,38,65,24,0,0,0,47,168,53,30,4,1,2,1,0,0,0,57,0,2,0,12,1,7,0,5,3,4,1,33,7,17,14,0,0,3,11,0,14,7,0,0,0,0,0,0,0,0,1,16,0,0,0,3,0,0,3,1,0,0,0,0,0,0,161,0,0,0,1,3,0,0,0,0,3,0,0,14,8,20,33,262,7,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,1,0,0,0,1,0,0,0,0,21,0,0,0,1,7,2,0,6,0,0,0,0,0,1,0,0,0,0,0,2,6,2,1,5,5,0,15,2,3,0,4,0,0,0,0,0,0,1,3,8,0,0,0,0,0,0,0,0,0,0,83
유흥업종사자,218,8,520,43,1,50,1,8,2,92,793,336,22,21,1,16,6,2,0,0,28,2,0,0,0,3,40,1,8,7,0,2,23,21,27,20,0,5,0,25,7,12,20,0,0,0,0,0,0,0,34,0,2,0,0,0,0,98,0,10,1,0,0,0,0,0,0,42,0,0,6,0,0,0,0,0,0,0,0,0,2,6,39,8,70,2,0,0,0,0,13,1,143,0,0,1,1,41,0,0,0,0,3,0,0,0,0,0,0,0,636,0,0,0,320,0,8,0,9,0,0,3,6,0,48,3,2,0,0,0,17,16,8,0,82,55,0,4,3,5,0,0,24,0,53,0,0,0,24,0,9,0,0,14,0,0,0,0,0,0,2,986
요식업종사자,869,9,1583,261,20,265,11,7,5,357,1954,547,113,19,2,13,11,6,1,1,77,5,0,0,0,1,219,1,29,23,9,24,161,130,173,74,0,5,7,109,9,16,30,2,0,0,0,0,1,0,0,3,1,3,0,1,22,28,0,44,58,0,2,0,2,9,0,827,0,0,5,1,1,1,0,0,0,19,2,0,16,89,409,155,1421,13,2,2,0,1,4,6,35,1,0,1,2,126,2,4,0,1,2,0,0,0,6,2,0,0,68,1,0,3,145,1,3,3,37,0,1,6,23,0,174,2,6,0,5,0,8,90,118,0,29,315,0,44,10,16,0,15,0,2,243,0,0,9,7,0,48,0,1,0,0,0,0,0,0,0,1,250
일용노동자,4611,31,8690,1247,119,1997,74,107,99,1260,11071,4459,994,155,12,79,96,10,3,4,335,22,0,1,0,2,1111,4,149,95,93,98,629,1091,2078,545,1,2,68,1090,54,101,97,5,0,1,0,2,8,6,0,14,4,4,24,55,41,144,1,623,280,10,3,13,3,26,10,4163,12,5,27,24,61,4,0,0,0,0,8,4,45,589,4079,1107,10282,203,19,0,0,0,49,25,379,4,0,0,9,295,27,10,3,27,3,20,3,22,17,22,0,1,282,7,8,8,22,0,23,11,148,0,7,70,75,0,536,8,9,0,21,1,14,766,2234,0,156,839,1,160,173,59,2,43,35,15,16,2,0,3,177,4,337,0,23,1,13,0,0,84,0,0,20,1469
기타피고용자,7843,197,16020,2855,462,2568,71,94,71,2330,18189,5971,1241,313,13,199,272,29,11,11,947,52,3,11,24,5,1805,21,223,184,592,189,1892,1417,2053,770,4,15,120,1108,90,183,277,8,0,0,0,2,15,17,17,29,114,43,42,73,124,1840,10,549,455,11,15,134,85,45,9,16033,15,3,79,48,22,6,42,0,2,57,16,114,169,1516,5149,2647,16716,250,111,93,0,3,73,38,345,30,147,1,22,1083,45,37,20,35,94,10,160,17,104,98,133,66,2322,11,134,107,547,4,57,28,388,35,145,325,133,22,1190,34,27,6,90,9,475,1716,2228,18,341,2118,11,558,235,124,20,142,78,35,2112,4,2,44,201,8,522,3,55,41,5,7,9,549,0,0,33,3557
의사,58,5,691,84,40,64,4,0,0,138,262,116,39,0,1,12,4,0,0,0,118,0,3,0,20,1,17,9,4,16,720,6,247,31,105,12,2,0,0,19,1,23,45,0,0,0,0,20,0,0,11,4,27,1,0,3,14,1,0,6,8,0,0,0,1,1,0,403,0,0,0,6,6,6,0,0,0,0,2,0,1,49,46,58,420,5,0,0,0,0,1,17,54,2,0,0,0,8,7,7,0,0,0,0,0,1,9,0,0,0,27,0,0,0,3,0,3,1,11,0,35,0,2,0,20,1,1,0,0,13,1421,15,8,2,19,2,0,57,5,6,4,5,0,2,0,0,1,0,0,1,12,0,2,0,0,0,0,0,0,0,0,393
변호사,3,0,147,37,26,7,0,1,0,5,39,7,12,1,0,2,1,0,0,0,75,4,4,1,1,2,2,0,0,1,0,0,33,6,18,2,7,0,4,5,2,7,7,0,0,0,0,0,0,0,0,2,15,0,0,0,1,1,0,0,0,0,0,1,0,3,0,35,0,1,0,0,3,5,0,0,0,0,1,0,2,2,6,5,25,0,0,3,0,0,1,0,0,0,0,0,78,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,1,1,4,3,3,0,0,9,5,0,0,0,0,4,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,11
교수,20,3,105,70,10,16,0,0,0,36,82,24,8,2,0,4,3,0,0,1,24,1,3,2,5,0,2,1,1,1,5,3,84,9,82,9,0,0,2,8,0,14,16,0,0,0,0,0,0,0,2,3,4,0,0,1,9,0,0,1,0,0,0,0,2,1,0,209,0,0,0,6,0,0,0,0,0,0,1,0,0,17,14,21,56,2,0,0,0,0,0,0,0,1,0,1,0,0,13,2,1,0,0,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,9,0,0,0,1,0,0,0,0,0,1,0,4,11,1,0,21,0,0,40,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,23
종교가,160,6,836,157,48,132,4,1,6,108,509,224,67,13,1,16,45,0,1,2,147,15,1,1,0,2,26,33,4,10,9,13,247,39,160,63,0,0,15,51,1,40,39,3,0,0,0,0,0,1,0,17,5,4,1,9,74,5,1,13,1,3,3,3,3,13,0,724,1,2,0,28,6,0,0,0,0,0,17,4,2,44,85,99,138,7,1,1,0,3,3,9,20,0,0,2,7,6,4,18,0,2,0,7,2,37,4,0,0,0,1,0,0,0,8,0,1,0,22,0,2,2,8,5,5,1,4,0,12,0,22,55,75,0,31,33,0,62,4,3,2,8,1,2,2,1,1,0,4,6,15,0,0,0,2,0,4,1,0,0,2,148
